food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method,calories_per_g_original
Cream of mushroom soup,1.8102,0.0664,0.0374,0.155,0.0134,0.0193,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1728
Chicken sweet corn soup,1.7775,0.1448,0.0163,0.1259,0.0047,0.0027,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.2832
Minestrone soup,1.5185,0.093,0.0371,0.1109,0.0192,0.0101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.4266
Egg drop soup,1.778,0.1293,0.011,0.1352,0.0081,0.006,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.2664
Chinese cabbage and meat ball soup,5.3569,0.0521,0.0143,0.5657,0.0057,0.0037,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,4.8431
French onion soup,1.9227,0.1141,0.0428,0.1439,0.0101,0.015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.5561
Hot and sour soup,0.3139,0.0312,0.0178,0.0131,0.006,0.0066,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.3151
Talaumein soup,1.7218,0.1012,0.0417,0.1278,0.0194,0.0077,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.3563
Cold cucumber soup (Thanda kheere ka soup),0.4819,0.0299,0.0458,0.0199,0.0088,0.0334,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.4803
Cold summer garden soup,1.716,0.0857,0.0265,0.1408,0.0186,0.0046,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,0.4919
